Date,Open,High,Low,Close,Adj Close,Volume
1998-08-12,6.250000,6.340000,5.980000,6.245000,1.812367,2932000
1998-08-13,6.220000,6.290000,6.100000,6.120000,1.776091,1106000
1998-08-14,6.200000,6.200000,6.010000,6.055000,1.757228,828000
1998-08-17,6.130000,6.150000,6.000000,6.000000,1.741266,817000
1998-08-18,6.025000,6.250000,5.900000,6.185000,1.794955,3035000
1998-08-19,6.200000,6.350000,6.065000,6.285000,1.823976,4513000
1998-08-20,6.375000,6.400000,6.150000,6.240000,1.810917,1336000
1998-08-21,6.230000,6.230000,6.075000,6.090000,1.767385,778000
1998-08-24,6.050000,6.100000,5.980000,6.000000,1.741266,1720000
1998-08-25,6.015000,6.065000,5.985000,6.000000,1.741266,4039000
1998-08-26,null,null,null,null,null,null
1998-08-27,6.020000,6.250000,6.005000,6.030000,1.749972,5875000
1998-08-28,6.010000,6.010000,5.560000,5.655000,1.641143,3253000
1998-08-31,5.900000,5.900000,5.610000,5.805000,1.684675,1306000
1998-09-01,5.760000,5.790000,5.625000,5.735000,1.664360,709000
1998-09-02,5.750000,5.800000,5.685000,5.745000,1.667262,650000
1998-09-03,5.745000,5.850000,5.735000,5.815000,1.687577,1029000
1998-09-04,5.800000,5.830000,5.760000,5.800000,1.683224,1340000
1998-09-07,6.000000,6.260000,5.900000,6.260000,1.816721,3140000
1998-09-08,6.300000,6.590000,6.300000,6.410000,1.860253,4479000
1998-09-09,6.470000,6.590000,6.350000,6.410000,1.860253,2187000
1998-09-10,6.400000,6.560000,6.360000,6.455000,1.873312,1971000
1998-09-11,6.400000,6.420000,6.280000,6.345000,1.841389,1300000
1998-09-14,6.495000,6.825000,6.450000,6.810000,1.976337,3041000
1998-09-15,6.780000,6.850000,6.700000,6.750000,1.958924,1435000
1998-09-16,6.790000,6.790000,6.600000,6.605000,1.916844,777000
1998-09-17,6.650000,6.700000,6.520000,6.700000,1.944414,949000
1998-09-18,6.600000,6.850000,6.600000,6.730000,1.953120,1477000
1998-09-21,7.265000,7.265000,7.125000,7.155000,2.076459,2584000
1998-09-22,7.200000,7.200000,6.840000,6.945000,2.015515,2075000
1998-09-23,7.000000,7.065000,6.900000,6.995000,2.030026,824000
1998-09-24,7.050000,7.100000,6.820000,6.900000,2.002456,753000
1998-09-25,6.820000,6.900000,6.815000,6.845000,1.986494,744000
1998-09-28,6.980000,6.990000,6.500000,6.590000,1.912490,520000
1998-09-29,6.590000,6.590000,6.280000,6.380000,1.851546,991000
1998-09-30,6.400000,6.530000,6.250000,6.470000,1.877665,906000
1998-10-01,null,null,null,null,null,null
1998-10-02,null,null,null,null,null,null
1998-10-05,6.200000,6.250000,6.060000,6.150000,1.784797,1248000
1998-10-06,6.060000,6.225000,6.050000,6.205000,1.800759,632000
1998-10-07,6.300000,6.375000,6.200000,6.325000,1.835585,338000
1998-10-08,6.300000,6.310000,6.000000,6.155000,1.786249,424000
1998-10-09,6.200000,6.250000,6.105000,6.115000,1.774640,1147000
1998-10-12,6.100000,6.120000,5.880000,5.905000,1.713696,684000
1998-10-13,5.880000,5.940000,5.750000,5.785000,1.678870,672000
1998-10-14,5.800000,5.960000,5.710000,5.890000,1.709343,1474000
1998-10-15,5.830000,5.890000,5.690000,5.725000,1.661458,568000
1998-10-16,5.785000,5.785000,5.500000,5.525000,1.603415,882000
1998-10-19,5.850000,5.850000,5.600000,5.600000,1.625182,211000
1998-10-20,5.570000,5.570000,5.155000,5.155000,1.496038,1218000
1998-10-21,null,null,null,null,null,null
1998-10-22,null,null,null,null,null,null
1998-10-23,5.300000,5.450000,5.230000,5.330000,1.546825,948000
1998-10-26,5.700000,5.700000,5.470000,5.505000,1.597611,1839000
1998-10-27,5.555000,5.645000,5.200000,5.295000,1.536667,863000
